iter	Logloss
0	0.6807849104
1	0.669616088
2	0.6588493642
3	0.6496060744
4	0.6388268205
5	0.6291872387
6	0.6202815196
7	0.6105922541
8	0.6018918628
9	0.594821346
10	0.5864132948
11	0.5780522643
12	0.5703925268
13	0.5625561454
14	0.5557037921
15	0.549550549
16	0.5434221914
17	0.5374934861
18	0.5314834879
19	0.5259959994
20	0.5205659662
21	0.5157688124
22	0.510245742
2323	0.5099547112424	0.5051920482525	0.5008019705
26	0.4964603102
27	0.49220841228	0.4836437569
29	0.48010267
30	0.4766660589
31	0.4731754418
32	0.4705317201
33	0.4671311713
3434	0.4679709941
35	0.4646848316
36	0.461809805
37	0.45903126438	0.4516199027
39	0.4487116081
40	0.4462332228
41	0.4435101292
42	0.4411807081
43	0.4386968654
44	0.4366276077
45	0.4350088226
46	0.4325221857
47	0.4304664623
48	0.4283541569
49	0.4262327704
50	0.4243563542
51	0.4222607701
5252	0.4265616094
53	0.42475229654	0.4102717715
55	0.4086091965
56	0.4142401044
5757	0.4190017658	58	0.4176292159	0.40989744
60	0.4084907499
61	0.4070994278
62	0.4058733982
63	0.4049644197
64	0.4036278459
65	0.4028601039
66	0.4019213937
67	0.401045334
68	0.3998676786
69	0.3987724512
70	0.3978894934
71	0.397219853
72	0.3961603386
73	0.3951471899
74	0.3942396085
75	0.3933547297
76	0.3926954802
77	0.3918355743
78	0.3911021046
79	0.3902621071
80	0.3896424126
81	0.38896666
82	0.3881146127
83	0.3873748561
84	0.3866378064
85	0.3859067816
86	0.3851640126
87	0.3846696191
88	0.3888	0.3900990848
89	0.3897277221
90	0.3891965241
91	0.3744754819
92	0.3740123481
93	0.3734928071
94	0.3729819105
95	0.372399326
96	0.3718317602
97	0.3857116263
98	0.3851713036
99	0.3702102683
100	0.3696873219
101	0.3691152155
102	0.3687140774
103	0.3682472327
104	0.3678500676
105	0.3676348729
106	0.3673615681
107	0.3670263986
108	0.3666336867
109	0.3662735444
110	0.3658371299
111	0.3655784727
112	0.365129288
113	0.3646389111
114	0.3641775893
115	0.3637864927
116	0.3784423304
117	0.3778918789
118	0.3626970283119	0.377035946
120	0.3768794288
12121	0.3617453295
122	0.3615377314
123	0.36134628712124	0.3609467863
125	0.3607037589
126	0.360429646127	0.3750223534
12128	0.3595615545
129	0.359164957
130	0.358860829
131	0.3585499994
132	0.3736162745
133	0.3733272089
134	0.3729200895
135	0.3727498198
136	0.3726090635
137	0.3722568234
138	0.3720460381
139	0.3718682591
140	0.3716968542
141	0.3714091856
142	0.3712400073
143	0.3710783821
144	0.3707191566
145	0.3704579016
146	0.3702279065
147	0.3697902696
148	0.3695489668
149	0.3692011799
150	0.3689163055
151	0.3688173744
152	0.3685433711
153	0.3683884693
154	0.3680808486
155	0.3679256849
156	0.367703199
157	0.3675877649
158	0.3673304393
159	0.3671455874
160	0.3669189104
161	0.3666125122
162	0.3663095193
163	0.3659680412
164	0.3658535457
165	0.3656193811
166	0.3655114344
167	0.365354437
168	0.3652240278
169	0.3649073261
170	0.3647020419
171	0.3644907764
172	0.3642182575
173	0.3640768245
174	0.3638155041
175	0.3635922324
176	0.3634858793
177	0.3634110261
178	0.3631710113
179	0.3629973361
180	0.3627601809
181	0.3625577564
182	0.3624217152
183	0.3622683633
184	0.361937909
185	0.3618266661
186	0.3617548035
187	0.3616159245
188	0.3615154217
189	0.361280515
190	0.3611151568
191	0.3609856427
192	0.360734211
193	0.3606499275
194	0.3603938243
195	0.3601572585
196	0.360075529
197	0.3598591773
198	0.3596135959
199	0.3595341804
200	0.3592642592
201	0.3590102953
202	0.3588055568
203	0.3587166455
204	0.3586174306
205	0.3584759321
206	0.3583871298
207	0.3581777417
208	0.3580105499
209	0.3577779134
210	0.3577028201
211	0.3576349087
212	0.3574769289
213	0.3572724742
214	0.3571694828
215	0.357008054
216	0.3566916579
217	0.3565459026
218	0.3564204269
219	0.3563665518
220	0.3563090094
221	0.3561004944
222	0.3559769397
223	0.3558595846
224	0.3557717647
225	0.3557221463
226	0.3554785296
227	0.3553082598
228	0.3550703188
229	0.3549877816
230	0.3548637248
231	0.3548209828
232	0.3545937818
233	0.3545719523
234	0.3545268963
235	0.354412379
236	0.354183519
237	0.3540466047
238	0.3538387446
239	0.3537355349
240	0.3535903691
241	0.3534916563
242	0.3534480192
243	0.3532890789
244	0.3531770502
245	0.3530021526
246	0.3529035707
247	0.3528405273
248	0.3526847741
249	0.3525616778
250	0.3524052261
251	0.3522186934
252	0.3521897039
253	0.3520354351
254	0.3519832846
255	0.3518070554
256	0.3517130578
257	0.3516979081
258	0.3515666476
259	0.3515077517
260	0.3514638745
261	0.3512703782
262	0.3511905479
263	0.3510699838
264	0.3508273276
26266	0.336806879266	0.3506884705
26268	0.3364977748
269	0.3364467594
270	0.3363179874
271	0.336088276
272	0.3359782774
273	0.3358071782
274	0.3357110631274	0.3498370126
275	0.3495257464
276	0.3493358956
277	0.3492506734
278	0.349054252
279	0.3488704479
280	0.3486497522
281	0.3484854418
282	0.3484439659
283	0.3483682395
284	0.3482390091
285	0.3482098668
286	0.3481612963
287	0.3481166332
288	0.3480030764
289	0.3478941037
290	0.3477674056
291	0.3476425848
292	0.3475752627
293	0.3475126995
294	0.3474578857
295	0.3472584518
296	0.3471353119
297	0.3469808903
298	0.3467914107
299	0.3467491052
300	0.3466875243
301	0.3465593417
302	0.3464176904
303	0.3463456532
304	0.3461633772
305	0.3460320731
306	0.3459236898
307	0.3457918399
308	0.345652306
309	0.3455170071
310	0.3454769282
311	0.3454087766
312	0.3452818602
313	0.3452430037
314	0.3451433741
315	0.3450157155
316	0.3448137057
317	0.344742236
318	0.344653543
319	0.3444661808
320	0.3443865251
321	0.3442941865
322	0.3441886629
323	0.3441152941
324	0.3440733379
325	0.3439923724
326	0.3438997937
327	0.3436853848
328	0.3436039609
329	0.3434034792
330	0.3432649059
331	0.3432442988
332	0.3430981288
333	0.3430095449
334	0.3427624573
335	0.3426202384
336	0.3425303229
337	0.3424633283
338	0.3424153035
339	0.3423298193
340	0.3422769265
341	0.3419912445
342	0.3418982946
343	0.3417681256
344	0.3414879446
345	0.341249305
346	0.3411987479
347	0.3411186557
348	0.3409777029
349	0.3408557199
350	0.3408223208
351	0.3407807575
352	0.3406256156
353	0.3405864317
354	0.3405039164
355	0.340300575
356	0.3400970808
357	0.3399502341
358	0.3399218558
359	0.3398545774
360	0.3397156984
361	0.3395297551
362	0.3393986911
363	0.3391833653
364	0.339042871
365	0.338957496
366	0.3389251665
367	0.3388918548
368	0.3386270635
369	0.3384519476
370	0.3382618567
371	0.3381419693
372	0.3380748219
373	0.3380359437
374	0.3379537994
375	0.3378633818
376	0.3378163394
377	0.3377288687
378	0.3376710862
379	0.3375912122
380	0.3374723726
381	0.3372737683
382	0.337169991
383	0.3370392981
384	0.3369832619
385	0.3368730231
386	0.3368138216
387	0.3365835864
388	0.3364968361
389	0.3364548581
390	0.3364129674
391	0.3362831258
392	0.3361470628
393	0.3359591985
394	0.3358275669
395	0.3356692378
396	0.3354336107
397	0.3353357929
398	0.3351067146
399	0.3350662864
400	0.3350066265
401	0.3349797545
402	0.3348954491
403	0.334869101
404	0.3348072145
405	0.3346234978
406	0.3344864743
407	0.3344105296
408	0.3343568947
409	0.334345587
410	0.3342112485
411	0.3340369185
412	0.3338459763
413	0.3336051974
414	0.333441913
415	0.3331044515
416	0.3330318031
417	0.3329962647
418	0.3329059781
419	0.3328262788
420	0.3327100587
421	0.3325322142
422	0.3324016959
423	0.3322681869
424	0.3321718317
425	0.3320640378
426	0.332008853
427	0.3319744498
428	0.3319158595
430	0.3173244842
431	0.3171527737
432	0.3170051629432	0.3314298922
4434	0.3169235644
435	0.3166861473
436	0.3166080415
437	0.3165545593
438	0.3164620897
439	0.3163448656
440	0.3161890251
441	0.3161405637
442	0.3159656006
443	0.3159073596
444	0.3156364124
445	0.3154947393
446	0.3154235753
447	0.3153671679
448	0.3151981643
449	0.3150751772
450	0.3149596557
451	0.3147116294
452	0.3146086599
453	0.3145033327
454	0.3143447199
455	0.3142587119
456	0.3141437361
457	0.3141298308
458	0.3140095505
459	0.3139789019
460	0.3138246986
461	0.3136551711
462	0.3136361358
463	0.3135326205
464	0.3135148514
465	0.3134212467
466	0.3134005305
467	0.3131621529
468	0.3130731978
469	0.3129008761
470	0.3127850927
471	0.3127817746
472	0.3126014633
473	0.3124974896
474	0.3124810739
475	0.3124163932
476	0.3122419104
477	0.3120545481
478	0.3120177873
479	0.3118997336
480	0.3117741488
481	0.3117146635
482	0.311586088
483	0.3113888807
484	0.3112107087
485	0.3109568977
486	0.3108357878
487	0.3106568518
488	0.3104509127
489	0.3102248905
490	0.3101088233
491	0.3100034962
492	0.309824713
493	0.3097151728
494	0.3096835637
495	0.3095841524
496	0.3094680197
497	0.3094224398
498	0.3093505335
499	0.3092742178
500	0.30921500	0.3229851238
501	0.3229574877
502	0.3227618958
503	0.3225941801
504	0.3223627442
505	0.3222973214
506	0.3222657996
507	0.321916834
508	0.3217295372
509	0.3215203674
510	0.3214792407
511	0.3213287703
512	0.3212175274
513	0.3211015911
514	0.3209070252
515	0.3207690849
516	0.320674869
517	0.3204808924
518	0.3203674884
519	0.3203519677
520	0.3201966511
521	0.3201056441
522	0.3199782037
523	0.319723585
524	0.3195986113
525	0.319530045
526	0.3192887422
527	0.3191372458
528	0.3190022961
529	0.3189364585
530	0.3188578288
531	0.3186134699
532	0.318518992
533	0.3182375012
534	0.31811733
535	0.3180131162
536	0.3179783637
537	0.3178814846
538	0.3176864602
539	0.3175400501
540	0.317415775
541	0.3173212098
542	0.3173016942
543	0.3172066706
544	0.3169744271
545	0.3167527708
546	0.3166935693
547	0.3166660205
548	0.316655717
549	0.3165403702
550	0.31641162
551	0.3162176435
552	0.3161399743
553	0.3159580695
554	0.3157266336
555	0.3155268941
556	0.31544557	0.3017776555
558	0.3016885258
559	0.3014857738
560	0.560	0.31471561	0.3013245415
562	0.3010864694
563	0.3007704662
564	0.3005142976
565	0.3003170903
566	0.3000239862
567	0.2998988161
568	0.2997480619
569	0.2996074365
570	0.2995262528
571	0.2993724643
572	0.2992304855
573	0.2990253323
574	0.2987379475
575	0.2985827619
576	0.2984531386
577	0.2982269855
578	0.2979978198
579	0.2978312611
580	0.2976142108
581	0.2975893034
582	0.297360247
583	0.2972567753
584	0.2969442867
585	0.2967144225
586	0.2965529501
587	0.2964507227
588	0.2962488657
589	0.2960541907
590	0.2959922605
591	0.2957336688
592	0.2956082367
593	0.2953932603
594	0.2951425053
595	0.2949413687
596	0.2948941298
597	0.2947246459
598	0.2945050197
599	0.294433943
600	0.2942269561
601	0.2940238985
602	0.2938001466
603	0.2935686671
604	0.2935106444
605	0.2933399162
606	0.2933078924
607	0.2931503492
608	0.2930056199
609	0.292978093
610	0.2927839855
611	0.2926486429
612	0.2926224475
613	0.2924721954
614	0.2922884787
615	0.2921958345
616	0.2919902447
617	0.2918591151
618	0.2917335521
619	0.2914514719
620	0.2913291833
621	0.291264961
622	0.2910507049
623	0.2909296169
624	0.2906690606
625	0.2904831609
626	0.2902872634
627	0.2900803202
628	0.2900595385
629	0.2900339107
630	0.2899557831
631	0.2897806018
632	0.2896053112
633	0.2895335796
634	0.2894109854
635	0.2893131676
636	0.2891204354
637	0.289035497
638	0.2889346667
639	0.2887894135
640	0.2885768819
641	0.2885171129
642	0.2882831885
643	0.2881373677
644	0.2880097309
645	0.2878162564
646	0.2876884231
647	0.2874293293
648	0.2873114503
649	0.2872132395
650	0.2870459386
651	0.2870008389
652	0.2868234746
653	0.2866622641
654	0.2865298685
655	0.2864869517
656	0.2863650342
657	0.2862662123
658	0.2861570869
659	0.2859393817
66660	0.3005996289
661	0.30049607
662	0.3004698747
663	0.2855677789
664	0.2854550079
665	0.2853263888
666	0.2851418426
667	0.285090587
668	0.2849468837
669	0.2847486504
670	0.2845961935
671	0.2844936387
672	0.2843066913
673	0.2842413557
674	0.2841445421
675	0.2841260962
676	0.2839771975
677	0.2837887874
678	0.2836312006
679	0.2833675226
680	0.2832592704
681	0.2831423518
682	0.2972627784
683	0.2971873577
684	0.2970643924
685	0.2969304032
686	0.2968071977
687	0.2966638655
688	0.2821803277
689	0.2820077004
690	0.2817786221
691	0.2960897508
692	0.2960360067
693	0.2960299163
694	0.2958040033
695	0.2956857749
696	0.2811186303
697	0.2954795084
698	0.2953699464
699	0.295251347
700	0.2951320708
701	0.2949024031
702	0.2947775168
703	0.2946562324
704	0.2946217637
705	0.2945084251
706	0.2943807883
707	0.2942644591
708	0.2940875096
709	0.2939850421
710	0.2938630591
711	0.2937023725
712	0.2935867855
713	0.2933920013
714	0.2932856919
715	0.2931996401
716	0.2930879388
717	0.2929866065
718	0.2928735299
719	0.292788657
720	0.2926361783
721	0.2925772606
722	0.2924613025
723	0.2923749015
724	0.2921652732
725	0.2919822333
726	0.2918319811
727	0.2916930366
728	0.2914796319
729	0.2913398361
730	0.2911662046
731	0.2910652434
732	0.2910441561
733	0.290953804
734	0.2907290261
735	0.2907101654
736	0.2905525568
737	0.2903450241
738	0.2903252467
739	0.2900938108
740	0.2899869774
741	0.289851482
742	0.2897142839
743	0.2894971681
744	0.2893741373
745	0.289264095
746	0.2891478532
747	0.2889782383
748	0.2888455589
749	0.2886834533
750	0.2885650504
751	0.2885514288
752	0.288417265
753	0.2884029012
754	0.2882911999
755	0.2882207344
756	0.2881570579
757	0.2879593703
758	0.2878680795
759	0.2877642368
760	0.2877021975
761	0.2876803899
762	0.2876089639
763	0.2874822221
764	0.2873816975
765	0.2871514185
766	0.287030658
767	0.2868638591
768	0.2868413748
