iter	Passed	Remaining
0	900	900067
1	903	450782
2	905	300975
3	2001	498391
4	2004	398908
5	2006	332417
6	2008	284876
7	2109	261538
8	2187	240883
9	2302	227911
10	2503	225115
11	2505	206292
12	2507	190397
13	2509	176732
14	2807	184383
15	2890	177743
16	2892	167264
17	2894	157929
18	3206	165548
19	3208	157192
20	3985	185812
21	3988	177290
22	3990	169495
23	3991	162333
24	4284	167110
25	4288	160645
26	4290	154598
27	4787	166181
28	4789	160376
29	4883	157901
30	4885	152723
31	4971	150398
32	5170	151508
33	5188	147407
34	5212	143712
35	5214	139635
36	5243	136484
37	5253	132996
38	5255	129511
39	5258	126198
40	5260	123044
41	5262	120045
42	5265	117182
43	5267	114447
44	5359	113742
45	5469	113442
46	5472	110954
47	5473	108567
48	5539	107505
49	5541	105297
50	5547	103227
51	5559	101347
52	5661	101155
53	5663	99219
54	5667	97375
55	5669	95578
56	5759	95280
57	5761	93572
58	5763	91915
59	5764	90309
60	5766	88760
61	5854	88576
62	5857	87115
63	5863	85760
64	5948	85564
65	5950	84206
66	5952	82885
67	5953	81604
68	5955	80360
69	6142	81602
70	6143	80389
71	6149	79259
72	6251	79382
73	6254	78261
74	6360	78443
75	6362	77358
76	6450	77317
77	6453	76278
78	6654	77574
79	6746	77580
80	6748	76561
81	6753	75609
82	6755	74635
83	6757	73684
84	6759	72762
85	6761	71860
86	6852	71912
87	6854	71033
88	6855	70173
89	6857	69332
90	6859	68517
91	6860	67715
92	6939	67673
93	6943	66926
94	6946	66171
95	6948	65427
96	6949	64697
97	6951	63982
98	6953	63283
99	6955	62598
100	6957	61927
101	7038	61963
102	7040	61313
103	7049	60737
104	7052	60112
105	7136	60187
106	7138	59577
107	7140	58979
108	7231	59112
109	7237	58560
110	7450	59671
111	7539	59777
112	7541	59199
113	7544	58634
114	7546	58076
115	7548	57527
116	7633	57613
117	7635	57073
118	7734	57263
119	7737	56739
120	7842	56969
121	7927	57049
122	7945	56651
123	7947	56143
124	8043	56301
125	8133	56420
126	8136	55927
127	8137	55438
128	8139	54959
129	8141	54486
130	8143	54022
131	8146	53566
132	8538	55659
133	8540	55192
134	8541	54730
135	8737	55509
136	8739	55053
137	8743	54612
138	8744	54166
139	8753	53771
140	8755	53339
141	8757	52914
142	8834	52942
143	8839	52547
144	8841	52137
145	8947	52335
146	8949	51932
147	8952	51535
148	8953	51139
149	8956	50752
150	8958	50367
151	9030	50380
152	9134	50567
153	9136	50192
154	9139	49823
155	9142	49462
156	9149	49127
