iter	RMSE
0	9542.786476
1	9162.354603
2	8822.117853
3	8488.247833
4	8168.428303
5	7860.026126
6	7562.971635
7	7282.592282
8	6993.801788
9	6744.977092
10	6505.866858
11	6273.617182
12	6081.104578
13	5873.765336
14	5669.28272
15	5475.152441
16	5311.112168
17	5136.175109
18	4968.87287
19	4813.522869
20	4666.099916
21	4533.186615
22	4394.891937
23	4286.092748
24	4169.911485
25	4073.460148
26	3971.416249
27	3867.387589
28	3776.126614
29	3675.581365
30	3581.411323
31	3493.024562
32	3413.323173
33	3324.810947
34	3254.638082
35	3180.908088
36	3119.864842
37	3055.29296
38	2998.659245
39	2940.784991
40	2879.403271
41	2821.950401
42	2771.045312
43	2719.131021
44	2668.566112
45	2624.48908
46	2585.592067
47	2547.860971
48	2493.30426
49	2449.841677
50	2408.062579
51	2374.655983
52	2340.925711
53	2293.022188
54	2263.378506
55	2231.651544
56	2204.100391
57	2176.975896
58	2152.518424
59	2125.448479
60	2102.482542
61	2080.213689
62	2055.06985
63	2034.733544
64	2012.252079
65	1993.749906
66	1972.599216
67	1951.75663
68	1933.026745
69	1914.782669
70	1896.517517
71	1879.040523
72	1863.633889
73	1848.79938
74	1838.667626
75	1821.410535
76	1803.000001
77	1790.950807
78	1776.792977
79	1764.980394
80	1752.949095
81	1743.739591
82	1724.939537
83	1710.724981
84	1701.656485
85	1689.979778
86	1680.371013
87	1674.462818
88	1663.628646
89	1653.093206
90	1644.180046
91	1632.137433
92	1621.444089
93	1609.510338
94	1603.149281
95	1589.471521
96	1580.357363
97	1572.849431
98	1562.122671
99	1554.584844
100	1546.854116
101	1538.478917
102	1528.3968
103	1518.22462
104	1510.165476
105	1503.206158
106	1496.627732
107	1491.343361
108	1486.600282
109	1478.686916
110	1474.060348
111	1470.190863
112	1464.522936
113	1457.405896
114	1449.59576
115	1444.410811
116	1435.979263
117	1431.644996
118	1425.380635
119	1420.213821
120	1414.753626
121	1410.460365
122	1405.567192
123	1399.175923
124	1393.502506
125	1390.517466
126	1386.604748
127	1381.649523
128	1378.586434
129	1367.075272
130	1362.856406
131	1351.635432
132	1348.01288
133	1347.088006
134	1343.966062
135	1339.119828
136	1333.346754
137	1328.634356
138	1323.481596
139	1322.355061
140	1319.313886
141	1316.852165
142	1315.825563
143	1315.156185
144	1314.496169
145	1310.028202
146	1307.743458
147	1307.127023
148	1303.388194
149	1293.829173
150	1290.956077
151	1287.718387
152	1285.368101
153	1278.830757
154	1276.11146
155	1273.660332
156	1272.004825
157	1269.680828
158	1266.279798
159	1263.357229
160	1259.201916
161	1254.112601
162	1250.767584
163	1245.957129
164	1245.477456
165	1242.506514
166	1238.710858
167	1236.383006
168	1233.803287
169	1233.383073
170	1231.531676
171	1229.289068
172	1227.823504
173	1225.142035
174	1220.477645
175	1218.281207
176	1216.018585
177	1215.632679
178	1214.014953
179	1209.893236
180	1205.878342
181	1201.931892
182	1199.828241
183	1196.150244
184	1193.729536
185	1187.68334
186	1185.9601
187	1183.404249
188	1183.078054
189	1180.649325
190	1180.38848
191	1178.020631
192	1175.911108
193	1174.308994
194	1172.533916
195	1172.285231
196	1172.055009
197	1170.591316
198	1170.332831
199	1167.668599
200	1167.441426
201	1165.587484
202	1164.189034
203	1162.187504
204	1160.036154
205	1157.65504
206	1156.106451
207	1154.612098
208	1151.82989
209	1149.444148
210	1147.731881
211	1145.320394
212	1141.391483
213	1140.781167
214	1140.58923
215	1137.134757
216	1135.028979
217	1133.761776
218	1132.537158
219	1130.913732
220	1129.763469
221	1128.649823
222	1127.752877
223	1126.538468
224	1124.380463
225	1122.470093
226	1119.171087
227	1116.512661
228	1116.334619
229	1112.426182
230	1110.012854
231	1108.827358
232	1108.660099
233	1106.006674
234	1105.160146
235	1103.43021
236	1103.270905
237	1100.049106
238	1099.893526
239	1096.967205
240	1095.882331
241	1095.096396
242	1093.40891
243	1092.536999
244	1091.047969
245	1089.44164
246	1086.453738
247	1085.574967
248	1083.448138
249	1081.300018
250	1079.299426
251	1076.955469
252	1074.072995
253	1072.707484
254	1071.257938
255	1069.773616
256	1069.644678
257	1069.518998
258	1068.00534
259	1066.72245
260	1064.303774
261	1062.748274
262	1062.104657
263	1061.429541
264	1059.025446
265	1058.390112
266	1057.037889
267	1055.654239
268	1055.178754
269	1054.49713
270	1052.757617
271	1051.784645
272	1051.26787
273	1050.778088
274	1050.180095
275	1048.019806
276	1047.45276
277	1045.662729
278	1044.002071
279	1042.356834
280	1041.510478
281	1040.936402
282	1038.491051
283	1038.39388
284	1037.837996
285	1037.207297
286	1035.98218
287	1035.613865
288	1034.976631
289	1033.102419
290	1032.891827
291	1032.527557
292	1032.048366
293	1031.307678
294	1029.385315
295	1027.572428
296	1027.492561
297	1026.545059
298	1026.154656
299	1025.113137
300	1024.095309
301	1023.567665
302	1022.806151
303	1022.644111
304	1021.51579
305	1021.125069
306	1018.917458
307	1017.981012
308	1017.683324
309	1016.168767
310	1013.979884
311	1012.092914
312	1010.89628
313	1010.052903
314	1008.573508
315	1006.666888
316	1004.922044
317	1003.50207
318	1001.677815
319	1001.529234
320	999.2958882
321	998.4091416
322	997.2612049
323	996.4081256
324	995.5761006
325	995.5139252
326	993.5282469
327	992.4562847
328	992.3943246
329	991.5936927
330	990.414204
331	989.644689
332	989.5885508
333	988.6411663
334	987.1913155
335	986.5822668
336	985.5629215
337	984.6631528
338	983.7481207
339	982.7536924
340	980.8962389
341	979.3732846
342	978.1897175
343	977.5737214
344	976.2057228
345	974.79574
346	973.2406721
347	971.7302806
348	970.0343482
349	968.836542
350	968.3866276
351	967.4212661
352	965.6812619
353	964.5593264
354	963.9711263
355	963.1847918
356	961.898268
357	961.538256
358	960.616162
359	959.7658534
360	958.5322691
361	957.7266467
362	956.6866637
363	955.8695316
364	955.2072732
365	955.1628202
366	954.7712614
367	953.2256637
368	951.5785222
369	950.4598393
370	949.8739944
371	948.8417509
372	948.1023451
373	946.6515913
374	945.8318745
375	943.7863676
376	942.6973663
377	940.9590425
378	939.5939893
379	939.2913576
380	938.9991595
381	938.3395045
382	937.5647963
383	936.7956574
384	936.105151
385	935.104384
386	934.1917992
387	932.8400697
388	932.1197818
389	931.7443819
390	930.7495078
391	929.6574717
392	928.7109815
393	927.6255684
394	927.5962126
